一丁不识	形容一个字也不认识。
一无忌惮	任意妄为，没有一点顾忌。
一无所取	原指一点都没拿。后也形容什么都未得到。
一无所失	什么损失也没有。
一无所好	好：喜爱。指没有一种爱好。
一无所得	什么也没有得到。形容毫无收获。
一无所成	一点没有成就。
一无所有	什么也没有。指钱财，也指成绩、知识。
一无所求	指没有什么要求或需要。
一无所知	什么也不知道。
一无所能	什么能耐也没有。
一无所获	一无：全无。什么东西都没有获得。
一无所见	一：全，都。什么也没有看见。
一无所长	没有一点儿专长。
一无所闻	一点也没有听说，丝毫也不知道。
一无是处	是：对，正确。没有一点儿对的或好的地方。
一无牵挂	指没有任何挂念的人和事。
一无长物	一无：全无；长物：多余的东西。除一身之外再没有多余的东西。原指生活俭朴。现形容贫穷。
一日万几	形容帝王每天处理政事极为繁忙。
一日万机	一天要处理成千上万件公务。形容公务繁忙，每天要处理很多事情。
一日万里	比喻行动非常迅速。
一日三复	指在一天之内多次反复玩味。
一日三岁	形容对人思念殷切。
一日三月	形容对人思念殷切。
一日三省	每天多次地自我反省。
一日三秋	三秋：三个季度。意思是一天不见面，就象过了三个季度。比喻分别时间虽短，却觉得很长。形容思念殷切。
一日三覆	指在一天之内多次反复玩味。
一日之冬	指夜间。
一日之谊	指短暂的交往。指交情不深。
一日之长	长：长处。表示判断或处理事情有稍强于他人的能力。
一日之雅	雅：交往。指短暂的交往。指交情不深。
一日九回	形容心里不安。
一日九迁	九：形容多次；迁：升职。一日之内多次升迁。比喻官职升得极快。
一日千丈	形容形势发展极为迅速。
一日千里	原形容马跑得很快。后比喻进展极快。
一日并命	形容极受恩宠，一天之内并拜升迁之命。
一日而白	形容一下子名声大震。
一日身死	一旦自己死亡。
一旦一夕	形容很短的时间。同“一朝一夕”。
一旦之忿	忿：气忿。一时的气忿。
一时一刻	指非常短暂的时间。
一时三刻	指很短的时间。
一时之冠	冠：位居第一。一个时期里的首领。
一时之权	暂时的权宜。
一时之标	标：出色。一个时期最出众的人物。
一时之秀	一个时期的优秀人物。亦作“一时之选”。
一时之选	指某一时期的优秀人才。
一时伯仲	指两人水准才能难分高下。伯仲，指兄弟。
一时千载	一千年才遇到一次。极言机会难得。
一时半刻	指很短的时间。
一时半晌	指很短的时间。
一时半霎	指很短的时间。
一时口惠	口惠：口头上许给别人以好处。口头上一时空言给人恩惠，事实上并没有兑现。
一时戏言	偶然开玩笑的话。
一时无两	一个时期内最突出，没有可与相比的。
一时权宜	权宜：因时因事变通处理。暂时变通处理
一时独步	形容非常突出，一个时期内没有人能比得上。
一时缓急	缓急：危急之事。暂时有了困难，急需帮助。
一时虚誉	虚：表面的、不实在的；誉：声誉。暂时的、表面的荣誉。
一昔之期	一昔：即一夕。一夜的时间。
一星半点	星：细碎的。形容极少。
一晦一明	一暗一明。常指昼夜循环。
一暝不视	闭上眼睛，不再睁开。指死亡。
一暴十寒	虽然是最容易生长的植物，晒一天，冻十天，也不可能生长。比喻学习或工作一时勤奋，一时又懒散，没有恒心。
一曝十寒	曝：晒。原意是说，虽然是最容易生长的植物，晒一天，冻十天，也不可能生长。比喻学习或工作一时勤奋，一时又懒散，没有恒心。
一曲之士	仅会一首歌曲的人。比喻只精通一种技艺的人。也指孤陋寡闻的人。
一曲阳关	阳关：古曲调名，古人在送别时唱。比喻别离。
一替一句	双方彼此你一言我一语地交替谈话，互相应答。
一月三舟	佛家语，同是一个月亮，三只船上的人看的角度各不一样。比喻佛家的道规只有一个，而因人理解不同而异。
一望无垠	辽远广阔，看不到边际。
一望无涯	涯：边际。一眼望不到边。形容非常辽阔。
一望无边	一眼看不到边际，形容地域十分辽阔。
一望无际	际：边。一眼望不到边。形容非常辽阔。
一望而知	一看就明白。
一朝一夕	朝：早晨；夕：晚上。一个早晨或一个晚上。形容很短的时间。
一朝之忿	朝：早晨；忿：气忿。一时的气忿。
一朝之患	突然发生的祸患。
一朝千里	犹一日千里。原形容马跑得很快。后比喻进展极快。
一木破天	指时机尚未成熟。比喻谋逆未成。
一木难扶	大楼将要倒塌，不是一根木头能够支撑得住的。比喻一个人的力量单薄，维持不住全局。
一木难支	大楼将要倒塌，不是一根木头能够支撑得住的。比喻一个人的力量单薄，维持不住全局。
一本万利	本钱小，利润大。
一本万殊	本：根源；万：许多；殊：不同。事物虽然千差万别，其实本源同一。比喻事物万变不离其宗。
一本十利	本：本钱；利：利润。本钱小，利润大。也比喻下的力量极小，得益却极大。
一本正经	原指一部合乎道德规范的经典。后用以形容态度庄重严肃，郑重其事。有时含讽刺意味。
一条藤儿	一条藤上长出来的枝条。比喻串通一气，站在同一立场上的人。
一来一往	形容动作的反复或交替。
一来二去	指一回又一回，经过一段时间。表示逐渐的意思。
一来二往	来来往往次数多。
一板一眼	比喻言语、行动有条理或合规矩。有时也比喻做事死板，不懂得灵活掌握。
一板三眼	板、眼：戏曲音乐的节拍。比喻言语、行动有条理或合规矩。有时也比喻做事死板，不懂得灵活掌握。
一板正经	正经：端庄正派。原指一部合乎道德规范的经典。后用以形容态度庄重严肃，郑重其事。有时含讽刺意味。
一枕南柯	指一场梦幻。
一枕日红	一觉睡到次日太阳升起。比喻因酣睡而起床晚。
一枕槐安	槐安：指槐安梦，也称南柯梦。泛指梦境。也比喻一场空欢喜。
一枕邯郸	比喻虚幻的梦想。同“一枕黄粱”。
一枕黄梁	原比喻人生虚幻。后比喻不能实现的梦想。
一枕黄粱	原比喻人生虚幻。后比喻不能实现的梦想。
一枕黑甜	形容酣畅地睡了一大觉。
一林二虎	两只凶猛的老虎同处于一个森林。形容两个强有力的人或集团同处一地，势不两立。
一枝一栖	比喻找到一份职业或栖身之所。
一枝一节	①本指树木的枝节。②比喻事物之细小部分。
一枝之栖	栖：鸟停留在树上。泛指一个工作位置。
一枝春信	指梅花开放。
一枝自足	一枝：一根枝杈；足：满足。有一根枝杈也就满足了。比喻能得到维持生活的一席之地出就知足了。
一柱承天	一根柱托住天。比喻人能担当天下重任。
一柱擎天	擎：托起。一根柱托住天。比喻人能担当天下重任。
一柱难支	一根柱子难于支撑。比喻一个人的力量难以维持艰危的局势；艰巨的事业非一人之力所能胜任。
一树百获	树：种植。种一次收获一百次。比喻培植人才能长期获益。
一栖两雄	比喻两雄对峙，势不并存。
一根一板	方言。原原本本，一五一十。
一梦华胥	后因称一场幻梦为“一梦华胥”。
一概抹杀	抹杀：抹掉，勾销。画一笔，全部抹掉。比喻轻率地把成绩、优点全部否定。
一概抹煞	抹煞：抹掉，勾销。画一笔，全部抹掉。比喻轻率地把成绩、优点全部否定。
一概而言	一概：同一标准，一律。指处理事情或问题不分性质，不加区别，用同一标准来对待或处理。
一概而论	一概：同一标准，一律。指处理事情或问题不分性质，不加区别，用同一标准来对待或处理。
一榜尽赐	指考生全部被录取。
一榻横陈	形容人在床上横躺着。
一榻胡涂	形容混乱或败坏到了不可收拾的程度。同“一塌糊涂”。
一槌定音	借指凭一句话作出最后决定。同“一锤定音”。
一模一样	样子完全相同。
一模二样	犹言一模一样。样子完全相同。
一步一计	指人善于使用计谋，诡计多端。
一步一趋	步：行走；趋：快走。别人走一步，他也走一步。形容事事模仿或追随别人
一步一鬼	走一步路就好像碰到一个鬼。形容遇事多疑。
一步三摇	指人走路摇晃或者悠闲自得的样子
一步登天	登：上。一步跨上青天。比喻一下子就达到很高的境界或程度。有时也用来比喻人突然得志，爬上高位。
一死一生	指有关生死的关键时刻。
一毛不拔	一根汗毛也不肯拔。原指杨朱的极端为我主义。后形容为人非常吝啬自私。
一毛吞海	毛：同“蚝”，蛤蜊。一只蛤蜊吞吸海水。比喻无损于事。
一毛片甲	比喻零星片段的事物。
一毫不取	一毫：一根毫毛，比喻极其微小的东西。连一根毫毛那样微不足道的小东西也不拿人家的。形容为人廉洁，不占他人或公家的便宜。
一毫不差	指完全相同，没有一点差异。
一毫不拔	一根毫毛也不肯拔。原指杨朱的极端为我主义。后形容为人非常吝啬自私。
一毫不染	指一尘不染。
一毫不苟	指十分认真，一丝不苟。
一毫千里	指差错虽微，造成的危害甚大。
一毫莫取	一毫：一根毫毛，比喻极其微小的东西。连一根毫毛那样微不足道的小东西也不拿人家的。形容为人廉洁，不占他人或公家的便宜。
一民同俗	指使人民的思想风俗齐同。
一气呵成	一口气做成。形容文章结构紧凑，文气连贯。也比喻做一件事安排紧凑，迅速不间断地完成。
